 ,,,,,,,,,
2026-05-12,Chifa,KP-213-130-PMK,Kleszcze wkl.-wyp.typ Fischer,1,-,Kordian,ZAMÓWIONE,FALSE,3b9d7488-a7db-42de-9491-5beaba7401d6
2026-05-26,Denon Dental,CP 6 1000G,Vertex CP 6 1000g,1,-,Kamil,ZAMÓWIONE,FALSE,1100e34e-47cd-43b1-9e58-35add09ea764
2026-05-19,Dental Flex Italia,141,"Viva Flex ""LF"" - XL 22mm, kolor LF4",-,-,STAN,ZAMÓWIONE,FALSE,5993d0fd-b5a9-4230-b4f6-3663080de5dd
2026-05-25,Dentalstore/At-Akcept,ROLAND COOLANT,Roland Coolant 1L DWX-4W ZAW-1000D,1,-,Kasia J.,ZAMÓWIONE,FALSE,c4cc580a-340f-4169-b78e-f19e7adf83e9
2026-05-27,Dentalstore/At-Akcept,SENERTEK TEMP A2,Senertek żywica Temp V5 A2 500g,1,-,Paweł,ZAMÓWIONE,FALSE,734e72e4-65b9-4774-a7db-9b9fae41b723
2026-05-20,DFS,142221,"DFS Top-Flex zmontowany 0,10x22 mm (S929/220)",2,-,Agnieszka,ZAMÓWIONE,FALSE,d729d9c4-d320-4c98-9018-098d2d0ce599
2026-05-20,DFS,191321,"DFS Separator diamentowy MINIDISC 13mm 0,10mm",3,-,Agnieszka,ZAMÓWIONE,FALSE,af9cc321-7cd4-4725-9bc2-168eb4e49630
2026-02-09,DFS,606402,DIADUR QUATTRO,2,-,Kasia J.,ZAMÓWIONE,FALSE,cae78784-ead5-43e2-b633-02c2593dca45
2026-05-26,DFS,407501,DFS Frez Diadur Macro 407501,2,-,Kordian,ZAMÓWIONE,FALSE,818c66c9-619e-4dd9-aa7b-2fa0d1b72d78
2026-04-13,DFS,112231,"DFS Separator TOTO-Flex 0,19mm (928/220) ~Dentesteam",4,-,Ola G.,ZAMÓWIONE,FALSE,94a554ab-4d30-4134-89cd-5cfd3a5f08c9
2026-05-25,DFS,112242,"DFS Separator TORO-FLEX 0,25mm (927/220)",-,-,Ola G.,ZAMÓWIONE,FALSE,2f61ca62-6436-4ffd-8387-750e34df0570
2026-05-25,DFS,182021,DFS Separator diamentowy Sidia Flex,-,-,Ola G.,ZAMÓWIONE,FALSE,c987a3b2-b7bc-4ea8-b727-2e276ecbe91e
2026-05-13,Effegi Brega,VK 400,Effegi Brega-Wytwornica Pary VK 400,1,-,Kamil,ZAMÓWIONE,FALSE,076a6778-30fd-4b69-b0be-33b6176f788c
2026-05-13,Effegi Brega,200072,Effegi Brega-Zmiękczacz wody easy,1,-,Kamil,ZAMÓWIONE,FALSE,8a5ee20f-d710-4562-ab8b-decf880675da
2026-05-19,Effegi Brega,90362,"NOZZLE OTT.NK.E13x61 M-M8 D.1,5 E01",1,-,Krystian,ZAMÓWIONE,FALSE,d1c38caf-cde9-4391-b632-70861add0421
2026-05-28,Everall7,VILLACRYLH4KG+2L V2,Villacryl H Plus V2 4kg+2x monomer 1L,1,-,Kasia J.,ZAMÓWIONE,FALSE,1331d9b0-5b6b-469f-a5a8-656b5d49d44f
2026-05-28,Everall7,V130V2Z04,Villacryl S V2 zestaw 100g/50ml,6,-,Kasia J.,ZAMÓWIONE,FALSE,633b079e-68fb-4bb8-82ab-ead166e96581
2026-05-20,Formlabs,RS-C2-FL80-11,Formlabs żywica Flexible 80A (Form 4) 1L ~Tumba,3,-,Kasia J.,ZAMÓWIONE,FALSE,b4a03cd5-e609-4f33-b950-feb7d1ec4918
2026-05-28,Formlabs,FH-CU-01,Formlabs Form Cure,1,-,Kasia J.,ZAMÓWIONE,FALSE,2a65fea6-a236-4712-8e65-830769edd7a8
2026-03-23,Giedrius Juzenas (Erkodent / Komet),H251UM104060,Komet Frez H251UM.104.060 ~Zdenek Drapela,5,-,Paweł,ZAMÓWIONE,FALSE,14850fb0-627e-4ca2-af60-e4a826235b56
2026-05-04,Giedrius Juzenas (Erkodent / Komet),203.104.021,Komet wiertłonaprostnicę203.104.021[890-20-015-05],60,-,Paweł,ZAMÓWIONE,FALSE,45e79ad5-f27b-422b-9e04-e044b87ae574
2026-03-26,Hol-Dental Depot,4000-O,"Stains brush #3/0, module",4,-,Kasia J.,ZAMÓWIONE,FALSE,890f59a8-c1de-418f-bbc5-e217edbfe10a
2026-05-05,Hol-Dental Depot,SML 4000-0,Smile Line 4000-0 Pędzelek 3/0,5,-,Kasia J.,ZAMÓWIONE,FALSE,0a475d90-11dc-41ff-bdc8-53ec457d172c
2026-05-05,Hol-Dental Depot,SML 4000-W,Smile Line 4000-W Pędzelek Kolinsky #4,4,-,Kasia J.,ZAMÓWIONE,FALSE,ba2bb01f-6d08-4ab6-b2a4-83f4127ea36e
2026-05-05,Hol-Dental Depot,SML 4000-N,Smile Line 4000-N Pędzelek do glazury #2,3,-,Kasia J.,ZAMÓWIONE,FALSE,abe28f21-8738-47a1-9421-72faac9ac845
2026-05-28,Ivoclar Vivadent - EXCEL,747825,Programat P310 G2  ~Pawlak Mikołaj,1,-,Ala,ZAMÓWIONE,FALSE,68d7cddf-2b56-4587-98ef-f76fe93209bd
2026-05-28,Ivoclar Vivadent - EXCEL,594554,Vacuum Pump VP3 Easy - pompa do pieca do napalania ~Pawlak Mikołaj,1,-,Ala,ZAMÓWIONE,FALSE,209a3bab-de6b-4ae7-aa9e-85de756a7a5f
2026-05-07,Ivoclar Vivadent - EXCEL,764319,IPS e.max Zirconia A3 98.5-16mm,1,-,Iza,ZAMÓWIONE,FALSE,c83ef8a7-b958-4980-9314-ab17bc4a7f09
2026-05-18,Ivoclar Vivadent - EXCEL,692186,Tetric CAD for PrograMill HT A1 C14/5,1,-,Iza,ZAMÓWIONE,FALSE,782a0d0e-2bf3-4aeb-ab3d-3633d77cbc5a
2026-05-18,Ivoclar Vivadent - EXCEL,692187,Tetric CAD for PrograMill HT A2 C14/5,1,-,Iza,ZAMÓWIONE,FALSE,0f009303-cf58-4e89-ab8b-5d6c4358cf5f
2026-05-18,Ivoclar Vivadent - EXCEL,692188,Tetric CAD for PrograMill HT A3 C14/5,1,-,Iza,ZAMÓWIONE,FALSE,ee69036a-6ade-4834-8b5c-4793a7b2f067
2026-05-12,Ivoclar Vivadent - EXCEL,764395,IPS e.max Zirconia A1 98.5-30mm,1,-,Kasia J.,ZAMÓWIONE,FALSE,d9e0b9c1-f22a-4efc-bd6f-4600979984e7
2026-05-20,Ivoclar Vivadent - EXCEL,531548,IPS Ceramic Etching Gel refill 5ml ~Tumba,20,-,Kasia J.,ZAMÓWIONE,FALSE,72af6aad-65cd-49aa-bebf-a1a555a82810
2026-05-26,Ivoclar Vivadent - EXCEL,640441,SR Nexco Opaquer 2 ml C3,1,-,Kordian,ZAMÓWIONE,FALSE,21445ec1-5ec9-4a15-842f-f4504ca88214
2026-04-21,Ivoclar Vivadent - EXCEL,692148,Tetric CAD CEREC/inLab HT A1 C14/5,1,-,Magda,ZAMÓWIONE,FALSE,f8c81ca4-1d61-4550-acab-b16c3a41244f
2026-05-07,Ivoclar Vivadent - EXCEL,602583,IPS Empress CAD CEREC/inLab LT BL2 I12/5,6,-,Ola G.,ZAMÓWIONE,FALSE,9b62cf83-18b6-4b2a-a375-d2a39c715b37
2026-05-04,Ivoclar Vivadent - EXCEL,687681,Bite wall overlay Gnathom CAD 10pcs (ID) ~Patryk Baszuk,1,-,Paweł,ZAMÓWIONE,FALSE,c0abf8fd-3963-4afb-8080-f54422ae1ffc
2026-05-20,Ivoclar Vivadent - EXCEL,531756,"Ips Classic V Dentin 100g A3,5 ~ Jacek Noga",1,-,Paweł,ZAMÓWIONE,FALSE,8cc8ef33-e0a7-4431-97e6-91e09b40720a
2026-05-20,Keystone,4200161,"Keystone żywica KeySplint Soft Clear 0,5kg",-,-,STAN,ZAMÓWIONE,FALSE,1d87f53b-568f-4b78-bdf5-4e9409f2ec11
2026-05-19,Marrodent,689036,PrograMill tool yellow 2.5c for PM3/5,4,-,Paweł,ZAMÓWIONE,FALSE,ff05ad2b-d5cc-4565-8764-a451fc5f432b
2026-05-19,Marrodent,689037,PrograMill tool yellow 1.0c for PM3/5,6,-,Paweł,ZAMÓWIONE,FALSE,2c827ef5-ccdf-43f5-bbd8-d3add21a5b2d
2026-05-19,Marrodent,689038,PrograMill tool yellow 0.5c for PM3/5,6,-,Paweł,ZAMÓWIONE,FALSE,c3a09e73-87af-412f-acea-5aece6992350
2026-05-27,Mesa,41420036A,"Mesa - Magnum Hyperone Ti dysk 98,5x12mm",-,-,STAN,ZAMÓWIONE,FALSE,32af6352-0dbf-4b54-b7fc-252019e66383
2026-05-18,Mestra,080114 II,Mestra Piec do synteryzacji cyrkonu MICROWAVES II,1,-,Iza,ZAMÓWIONE,FALSE,50bba02f-63b6-4494-8a88-815f4e63a95c
2026-05-20,Mestra,100295,Mestra Urządzenie anodujące do tytanu,1,-,Kasia J.,ZAMÓWIONE,FALSE,3bdb8f5e-b121-4826-b44d-e1e679a672f3
2026-05-14,Mestra,Piec Mestra,Microwave,-,-,STAN,ZAMÓWIONE,FALSE,7a568f1f-d52b-4156-a2cb-d01088f7aa8e
2026-05-18,MOTYL-Pro (frezy),F4,Frez z czarnym paskiem nr 10,30,-,Szymon R.,ZAMÓWIONE,FALSE,65885fdc-d5c2-4a72-827e-b61706121412
2026-04-30,OMEC,kit with button on the top for PS.86,kit with button on the top for PS.86,-,-,STAN,ZAMÓWIONE,FALSE,98567d50-78d8-41ce-bace-015bac01b0ea
2026-05-07,Polkard,602-605-10,ŚRUBA 3-KIERUNKOWA BERTONI A,1,-,Agnieszka,ZAMÓWIONE,FALSE,8d3e0d2f-1e80-40c7-90c0-1a4bfe59447d
